"","win_os_perl_distro_strawberry","win_os_perl_distro_activestate","win_os_perl_distro_cygwin","win_os_perl_distro_other","win_os_perl_distro_best"
"846",0,0,0,0,NA
"847",0,1,0,0,2
"848",0,0,0,0,NA
"849",0,1,0,0,1
"850",0,0,0,0,NA
"851",0,0,0,0,NA
"852",0,0,0,0,NA
"853",0,0,0,0,NA
"854",0,1,0,0,2
"855",1,0,0,0,1
"856",0,0,0,0,NA
"857",1,0,0,0,1
"858",0,0,0,0,NA
"859",0,0,0,0,NA
"860",0,0,1,0,3
"861",1,1,0,0,2
"862",0,1,0,0,2
"863",0,1,0,0,NA
"864",0,0,0,0,NA
"865",0,0,0,0,NA
"866",0,1,0,0,NA
"867",0,0,0,0,NA
"868",0,1,0,0,2
"869",0,0,0,0,NA
"870",0,1,0,0,2
"871",0,0,0,0,NA
"872",0,0,0,0,NA
"873",0,0,0,0,NA
"874",1,0,0,0,1
"875",0,0,0,0,NA
"876",1,0,0,0,1
"877",0,1,0,0,2
"878",0,0,0,0,NA
"879",0,0,0,1,NA
"880",0,0,0,0,NA
"881",0,0,0,0,NA
"882",0,0,0,0,NA
"883",0,0,0,0,NA
"884",0,1,0,0,2
"885",1,0,0,0,1
"886",0,0,0,0,NA
"887",0,1,1,0,NA
"888",0,0,0,0,NA
"889",0,0,1,0,3
"890",0,0,0,0,NA
"891",0,1,0,0,2
"892",0,0,0,0,NA
"893",0,0,0,0,NA
"894",0,0,1,0,3
"895",1,1,0,0,1
"896",1,1,0,0,1
"897",0,1,1,0,2
"898",0,1,0,0,2
"899",0,0,0,0,NA
"900",0,0,0,0,NA
"901",0,0,0,0,NA
"902",0,0,0,0,NA
"903",0,0,0,0,NA
"904",0,0,0,0,NA
"905",0,0,0,0,NA
"906",1,1,0,0,2
"907",0,0,0,0,NA
"908",0,0,0,0,NA
"909",0,1,0,0,2
"910",0,1,0,0,2
"911",0,0,0,0,NA
"912",0,0,0,0,NA
"913",0,1,0,0,1
"914",0,0,0,0,NA
"915",0,1,0,0,2
"916",0,0,0,0,NA
"917",0,0,0,0,NA
"918",0,0,0,0,NA
"919",1,0,0,0,1
"920",0,0,0,0,2
"921",0,0,0,0,NA
"922",0,0,0,0,NA
"923",1,0,1,0,3
"924",1,0,1,0,1
"925",0,0,0,0,NA
"926",0,1,0,0,2
"927",0,0,0,0,NA
"928",0,0,0,0,NA
"929",0,0,0,0,NA
"930",0,0,0,0,NA
"931",0,0,0,0,NA
"932",0,0,0,0,NA
"933",0,0,0,0,NA
"934",1,1,1,0,3
"935",0,0,0,0,NA
"936",0,1,0,0,4
"937",0,0,0,0,NA
"938",0,0,0,0,NA
"939",0,0,0,0,NA
"940",0,1,0,0,NA
"941",0,1,1,0,2
"942",0,0,0,0,NA
"943",0,0,0,0,NA
"944",1,0,0,0,1
"945",0,0,0,0,NA
"946",0,1,0,0,2
"947",0,0,0,0,NA
"948",0,0,0,0,NA
"949",0,0,1,0,3
"950",1,1,0,0,1
"951",0,0,0,0,NA
"952",0,0,0,0,NA
"953",0,0,0,0,NA
"954",0,0,0,0,NA
"955",0,0,0,0,NA
"956",0,1,0,0,1
"957",0,1,0,0,2
"958",0,0,0,0,NA
"959",0,0,0,0,NA
"960",0,0,0,0,NA
"961",0,0,0,0,NA
"962",0,1,0,0,2
"963",0,1,0,0,2
"964",0,0,0,0,NA
"965",0,0,0,0,NA
"966",0,1,0,0,2
"967",0,0,0,0,NA
"968",0,1,0,0,2
"969",0,1,0,0,2
"970",0,1,0,0,2
"971",0,0,0,0,NA
"972",0,0,0,0,NA
"973",0,0,0,0,NA
"974",0,0,0,0,NA
"975",0,1,1,0,NA
"976",1,0,1,0,1
"977",0,0,0,0,NA
"978",0,0,0,0,NA
"979",1,0,0,0,1
"980",0,0,0,0,NA
"981",0,0,0,0,NA
"982",0,0,1,0,3
"983",0,0,0,0,NA
"984",0,0,0,0,NA
"985",0,0,0,0,NA
"986",0,1,0,0,3
"987",0,0,0,0,NA
"988",0,0,0,0,NA
"989",0,0,0,0,NA
"990",0,0,0,0,NA
"991",0,0,0,0,NA
"992",0,1,0,0,2
"993",0,0,0,0,NA
"994",0,0,0,0,NA
"995",0,0,0,0,NA
"996",1,0,0,0,1
"997",1,0,0,0,1
"998",0,0,0,0,NA
"999",0,0,1,0,3
"1000",0,1,0,0,2
"1001",0,0,1,0,2
"1002",0,0,0,0,NA
"1003",0,0,1,0,1
"1004",0,1,0,0,2
"1005",0,0,1,0,NA
"1006",0,0,0,0,NA
"1007",0,0,0,0,NA
"1008",0,0,0,0,NA
"1009",0,1,0,0,2
"1010",0,0,0,0,1
"1011",1,0,0,0,1
"1012",1,1,0,0,2
"1013",0,0,0,0,NA
"1014",0,1,0,0,2
"1015",1,0,0,0,1
"1016",0,1,0,0,2
"1017",0,0,0,0,NA
"1018",0,0,0,0,1
"1019",0,1,0,0,2
"1020",0,0,0,0,NA
"1021",0,0,1,1,3
"1022",0,0,0,0,NA
"1023",0,0,0,0,NA
"1024",0,0,0,0,NA
"1025",0,0,1,0,3
"1026",0,0,0,0,NA
"1027",0,0,0,0,NA
"1028",0,0,0,1,NA
"1029",0,1,0,0,2
"1030",0,0,0,0,NA
"1031",0,1,0,0,2
"1032",1,0,0,0,1
"1033",0,1,0,0,2
"1034",0,0,0,0,NA
"1035",0,0,0,0,NA
"1036",0,0,0,0,NA
"1037",0,1,0,0,2
"1038",0,0,1,0,3
"1039",0,0,0,0,NA
"1040",0,0,0,0,NA
"1041",1,0,0,0,1
"1042",0,0,0,0,NA
"1043",0,1,0,0,2
"1044",0,0,0,0,NA
"1045",0,0,1,0,3
"1046",0,0,0,0,NA
"1047",0,0,0,0,NA
"1048",0,0,0,0,NA
"1049",0,0,0,0,NA
"1050",0,0,0,1,4
"1051",0,1,0,0,1
"1052",0,1,0,0,2
"1053",1,0,0,0,1
"1054",0,0,0,0,NA
"1055",0,0,0,0,NA
"1056",0,1,1,0,2
"1057",0,1,0,0,2
"1058",0,0,0,0,NA
"1059",0,0,0,0,NA
"1060",1,1,0,0,1
"1061",0,0,0,0,NA
"1062",0,0,0,0,NA
"1063",0,0,0,0,NA
"1064",0,0,0,0,NA
"1065",0,1,0,0,2
"1066",0,0,0,0,NA
"1067",0,0,0,0,NA
"1068",0,0,0,0,NA
"1069",0,1,0,0,2
"1070",0,1,0,0,2
"1071",0,0,0,0,NA
"1072",1,1,0,0,1
"1073",0,0,0,0,NA
"1074",1,0,0,0,1
"1075",0,0,0,0,NA
"1076",0,1,0,0,2
"1077",0,0,0,0,NA
"1078",0,1,1,0,3
"1079",0,1,0,0,2
"1080",1,0,0,0,1
"1081",0,0,0,0,NA
"1082",0,0,0,0,NA
"1083",0,0,0,0,NA
"1084",1,0,0,0,1
"1085",0,0,0,0,NA
"1086",0,0,0,0,3
"1087",0,1,1,0,2
"1088",0,0,0,0,NA
"1089",0,0,0,0,NA
"1090",0,0,0,0,NA
"1091",0,1,0,0,2
"1092",1,0,0,0,1
"1093",0,0,0,0,NA
"1094",0,0,0,0,NA
"1095",0,0,0,0,NA
"1096",0,0,0,0,NA
"1097",0,1,0,0,2
"1098",0,0,0,0,NA
"1099",1,0,1,0,3
"1100",0,0,0,0,NA
"1101",0,0,0,0,NA
"1102",0,0,0,0,NA
"1103",0,1,0,0,2
"1104",0,0,0,0,NA
"1105",0,1,0,0,1
"1106",0,0,0,0,NA
"1107",0,1,1,0,NA
"1108",0,0,0,0,NA
"1109",0,0,0,0,NA
"1110",0,1,0,0,2
"1111",0,0,0,0,NA
"1112",0,1,0,0,2
"1113",0,0,0,0,NA
"1114",0,0,0,0,NA
"1115",0,0,0,1,2
"1116",0,1,0,0,2
"1117",0,0,0,0,NA
"1118",0,0,0,0,NA
"1119",0,0,0,0,NA
"1120",0,0,0,0,NA
"1121",0,0,0,0,NA
"1122",0,1,0,0,3
"1123",1,1,0,0,1
"1124",0,0,0,0,NA
"1125",0,0,0,0,NA
"1126",0,0,0,0,NA
"1127",0,1,0,0,1
"1128",0,0,0,0,NA
"1129",0,0,0,0,NA
"1130",0,0,1,0,NA
"1131",0,1,0,0,2
"1132",0,0,0,0,NA
"1133",0,0,0,0,NA
"1134",0,0,0,0,NA
"1135",0,0,0,0,NA
"1136",1,0,0,0,1
"1137",0,0,0,0,NA
"1138",0,1,0,0,2
"1139",0,0,0,0,NA
"1140",0,1,0,1,4
"1141",0,0,0,0,NA
"1142",0,0,0,0,NA
"1143",0,0,0,0,NA
"1144",1,0,0,0,1
"1145",1,1,0,0,1
"1146",1,0,1,0,1
"1147",0,0,0,0,NA
"1148",0,0,0,0,NA
"1149",0,0,0,0,NA
"1150",0,0,0,0,NA
"1151",0,1,1,0,2
"1152",0,0,0,0,NA
"1153",0,0,0,0,NA
"1154",0,0,0,0,NA
"1155",0,0,0,0,NA
"1156",0,0,0,0,NA
"1157",0,0,0,0,NA
"1158",0,1,0,0,2
"1159",0,0,0,0,NA
"1160",0,0,0,0,NA
"1161",0,0,0,0,NA
"1162",0,0,0,0,NA
"1163",0,0,0,0,NA
"1164",0,0,0,0,NA
"1165",0,1,0,0,2
"1166",0,1,0,0,2
"1167",0,0,0,0,NA
"1168",0,0,0,0,NA
"1169",0,0,0,0,NA
"1170",0,0,0,0,NA
"1171",0,0,0,0,NA
"1172",0,0,0,0,NA
"1173",0,0,0,0,NA
"1174",0,0,0,0,NA
"1175",0,0,0,0,NA
"1176",0,0,0,0,NA
"1177",0,0,0,0,NA
"1178",1,0,1,0,1
"1179",1,1,0,0,1
"1180",0,1,1,0,2
"1181",0,1,0,0,2
"1182",1,1,1,0,1
"1183",0,0,0,0,NA
"1184",0,0,0,0,NA
"1185",0,0,0,0,NA
"1186",0,0,0,0,NA
"1187",0,0,0,0,NA
"1188",0,1,0,0,NA
"1189",0,0,0,0,NA
"1190",0,0,0,0,NA
"1191",0,0,1,0,3
"1192",0,0,0,0,NA
"1193",0,0,0,0,NA
"1194",0,1,0,0,2
"1195",0,1,0,0,2
"1196",0,0,0,0,NA
"1197",0,0,0,0,NA
"1198",0,0,0,0,NA
"1199",1,0,0,0,1
"1200",1,0,0,0,1
"1201",0,0,0,0,NA
"1202",0,0,0,0,NA
"1203",0,0,0,0,NA
"1204",0,0,0,0,NA
"1205",1,1,0,0,1
"1206",0,1,0,0,2
"1207",0,0,0,0,NA
"1208",0,0,0,0,NA
"1209",0,0,0,0,NA
"1210",1,0,0,0,1
"1211",0,0,1,0,2
"1212",0,0,0,0,NA
"1213",1,0,0,0,1
"1214",0,0,0,0,NA
"1215",0,0,0,0,NA
"1216",1,0,0,0,1
"1217",0,1,0,0,2
"1218",1,1,0,0,2
"1219",0,1,0,0,2
"1220",0,0,0,0,2
"1221",0,0,0,0,NA
"1222",0,0,0,0,NA
"1223",0,0,0,0,NA
"1224",0,0,0,0,NA
"1225",0,0,0,0,NA
"1226",0,0,1,0,3
"1227",0,0,0,0,NA
"1228",0,0,1,0,3
"1229",0,0,0,0,NA
"1230",0,0,0,0,NA
"1231",1,0,0,0,1
"1232",0,0,0,0,NA
"1233",0,1,1,0,3
"1234",0,0,0,0,NA
"1235",0,1,0,0,NA
"1236",0,1,0,0,1
"1237",0,0,0,0,NA
"1238",1,0,0,0,1
"1239",0,0,0,0,NA
"1240",0,0,0,0,NA
"1241",0,0,0,0,NA
"1242",0,0,0,0,NA
"1243",0,0,0,0,NA
"1244",0,0,0,0,NA
"1245",0,0,0,0,NA
"1246",0,0,0,0,NA
"1247",0,0,0,0,NA
"1248",0,1,0,0,NA
"1249",0,0,0,0,NA
"1250",0,0,0,0,NA
"1251",0,0,1,0,3
"1252",0,0,0,0,NA
"1253",0,1,0,0,2
"1254",0,0,0,0,NA
"1255",0,0,0,0,NA
"1256",0,0,0,0,NA
"1257",0,0,0,0,NA
"1258",0,0,0,0,NA
"1259",0,0,0,0,NA
"1260",0,0,0,0,NA
"1261",0,0,0,0,NA
"1262",1,1,1,0,1
"1263",0,1,0,0,2
"1264",0,0,0,0,NA
"1265",0,1,0,0,2
"1266",0,1,0,0,2
"1267",0,1,0,0,1
"1268",1,0,0,0,1
"1269",0,0,0,0,NA
"1270",0,0,0,0,NA
"1271",0,0,0,0,NA
"1272",0,0,0,0,NA
"1273",0,0,1,0,3
"1274",0,0,0,0,NA
"1275",0,0,0,0,NA
"1276",0,0,0,0,NA
"1277",1,0,0,0,1
"1278",0,1,0,0,2
"1279",0,1,0,0,2
"1280",0,1,0,0,2
"1281",0,1,0,0,2
"1282",0,0,0,0,NA
"1283",0,0,0,0,NA
"1284",0,0,0,0,NA
"1285",0,0,0,0,2
"1286",0,0,0,0,NA
"1287",0,1,0,0,2
"1288",0,0,0,0,NA
"1289",0,0,0,0,NA
"1290",0,0,0,0,NA
"1291",0,0,0,0,NA
"1292",0,0,0,0,NA
"1293",1,0,0,0,1
"1294",0,0,0,0,NA
"1295",1,0,1,0,1
"1296",0,1,0,0,1
"1297",0,1,0,0,2
"1298",0,0,0,0,NA
"1299",0,1,0,0,2
"1300",0,0,0,0,NA
"1301",0,0,0,0,NA
"1302",1,0,0,0,1
"1303",0,1,1,0,2
"1304",0,0,0,0,NA
"1305",0,0,0,0,NA
"1306",1,0,0,0,1
"1307",0,0,0,0,NA
"1308",1,1,0,0,2
"1309",0,0,0,0,NA
"1310",0,0,0,0,NA
"1311",0,0,0,0,NA
"1312",0,1,0,0,2
"1313",0,1,0,0,2
"1314",0,0,0,0,NA
"1315",1,1,0,0,1
"1316",0,0,0,0,NA
"1317",0,0,0,0,NA
"1318",0,0,0,0,NA
"1319",0,0,0,0,NA
"1320",0,0,0,0,NA
"1321",0,0,0,0,NA
"1322",0,1,1,0,2
"1323",0,1,0,0,2
"1324",0,0,0,0,NA
"1325",0,0,0,0,NA
"1326",0,1,0,0,2
"1327",1,0,0,0,1
"1328",0,0,0,0,NA
"1329",0,1,1,0,3
"1330",0,0,1,0,3
"1331",0,0,0,0,NA
"1332",1,1,0,0,2
"1333",0,0,0,0,NA
"1334",0,0,0,0,NA
"1335",0,0,0,0,NA
"1336",0,0,0,0,NA
"1337",0,0,0,0,NA
"1338",0,1,0,0,2
"1339",0,0,0,0,NA
"1340",0,1,0,0,2
"1341",0,0,0,0,NA
"1342",0,1,0,0,1
"1343",0,0,0,0,NA
"1344",0,0,0,0,NA
"1345",0,1,1,0,2
"1346",0,1,0,0,3
"1347",0,0,0,0,NA
"1348",0,0,0,0,NA
"1349",1,1,0,0,1
"1350",0,0,0,0,NA
"1351",1,0,0,0,1
"1352",0,0,0,0,NA
"1353",0,0,0,0,NA
"1354",0,0,0,0,NA
"1355",1,0,0,0,1
"1356",0,0,0,0,NA
"1357",1,0,0,0,1
"1358",0,0,0,0,NA
"1359",0,0,0,0,NA
"1360",0,1,0,0,2
"1361",0,1,0,0,2
"1362",0,0,0,0,NA
"1363",1,0,0,0,1
"1364",0,1,0,0,2
"1365",0,1,0,0,2
"1366",1,1,0,0,1
"1367",0,0,0,0,NA
"1368",0,0,0,0,NA
"1369",0,0,0,0,NA
"1370",0,0,0,0,NA
"1371",0,0,0,0,NA
"1372",0,0,1,0,3
"1373",0,1,0,0,2
"1374",1,1,0,0,1
"1375",0,0,0,0,NA
"1376",0,1,0,0,2
"1377",0,0,0,0,NA
"1378",0,1,0,0,2
"1379",0,1,0,0,2
"1380",0,0,0,0,NA
"1381",0,0,0,0,NA
"1382",0,0,0,0,NA
"1383",0,0,0,0,NA
"1384",0,0,0,0,NA
"1385",0,0,0,0,NA
"1386",0,0,0,0,NA
"1387",0,1,0,0,2
"1388",0,0,0,0,NA
"1389",1,0,0,0,1
"1390",0,1,0,0,2
"1391",0,1,0,0,2
"1392",0,0,0,0,NA
"1393",0,1,0,0,2
"1394",0,0,0,0,NA
"1395",0,0,0,0,NA
"1396",0,0,1,0,2
"1397",0,0,0,0,NA
"1398",0,0,0,0,NA
"1399",0,0,0,0,NA
"1400",1,0,0,0,1
"1401",0,0,0,0,NA
"1402",0,1,1,0,2
"1403",0,0,0,0,NA
"1404",0,0,0,0,NA
"1405",0,0,0,0,NA
"1406",0,1,0,0,2
"1407",1,0,0,0,1
"1408",0,0,0,0,NA
"1409",0,1,0,0,NA
"1410",0,0,0,0,NA
"1411",0,0,0,0,NA
"1412",0,1,0,0,2
"1413",0,0,0,0,NA
"1414",0,0,0,0,NA
"1415",1,0,0,0,1
"1416",0,0,0,0,NA
"1417",0,0,1,0,3
"1418",0,0,1,0,3
"1419",0,0,0,0,NA
"1420",0,0,1,0,3
"1421",0,1,1,0,3
"1422",0,0,1,0,3
"1423",0,1,0,0,NA
"1424",0,0,0,0,NA
"1425",0,1,1,0,3
"1426",1,0,0,0,1
"1427",0,1,1,0,2
"1428",0,0,0,0,NA
"1429",0,0,0,0,NA
"1430",0,0,0,0,NA
"1431",0,0,0,0,NA
"1432",0,1,0,0,2
"1433",0,0,0,0,NA
"1434",0,0,0,0,NA
"1435",0,1,1,0,2
"1436",0,0,0,0,NA
"1437",1,0,1,0,1
"1438",0,0,1,0,NA
"1439",0,1,0,0,2
"1440",0,1,0,0,2
"1441",0,1,0,0,2
"1442",1,0,0,0,1
"1443",0,1,0,0,2
"1444",0,0,0,0,NA
"1445",1,0,0,0,1
"1446",0,1,0,0,2
"1447",0,0,0,0,NA
"1448",0,1,0,0,1
"1449",0,1,0,0,2
"1450",1,0,0,0,1
"1451",0,0,0,0,NA
"1452",1,0,1,0,1
"1453",0,0,0,0,NA
"1454",0,0,0,0,NA
"1455",0,0,0,0,3
"1456",0,1,0,0,2
"1457",0,1,1,0,2
"1458",0,0,0,0,NA
"1459",0,0,0,0,NA
"1460",0,1,1,0,2
"1461",0,0,0,0,NA
"1462",0,0,0,0,NA
"1463",0,1,0,0,NA
"1464",0,0,0,0,NA
"1465",0,1,0,0,2
"1466",0,1,0,0,2
"1467",0,0,0,0,NA
"1468",0,0,0,0,NA
"1469",0,1,1,0,2
"1470",0,0,0,0,NA
"1471",0,1,1,0,2
"1472",1,0,0,0,1
"1473",0,0,0,0,NA
"1474",0,0,0,0,NA
"1475",0,1,0,0,2
"1476",0,0,0,0,NA
"1477",1,0,0,0,1
"1478",0,0,0,0,NA
"1479",1,1,0,0,1
"1480",0,0,0,0,NA
"1481",0,0,0,0,NA
"1482",0,0,0,0,NA
"1483",0,0,0,0,NA
"1484",0,0,0,0,NA
"1485",0,0,0,0,NA
"1486",1,0,0,0,1
"1487",0,0,0,0,NA
"1488",0,1,0,0,NA
"1489",1,0,1,0,3
"1490",0,0,1,0,3
"1491",1,0,0,0,1
"1492",0,1,0,0,2
"1493",0,0,0,0,NA
"1494",0,0,0,0,NA
"1495",0,0,0,0,NA
"1496",0,0,0,0,NA
"1497",0,0,0,0,NA
"1498",0,0,0,0,NA
"1499",0,0,0,0,NA
"1500",0,0,0,0,NA
"1501",1,0,1,0,1
"1502",1,0,0,0,1
"1503",0,0,0,0,NA
"1504",0,0,0,0,NA
"1505",0,1,0,0,2
"1506",0,0,0,0,NA
"1507",0,0,0,0,NA
"1508",0,1,0,0,2
"1509",0,1,0,0,NA
"1510",0,0,0,0,NA
"1511",1,0,0,0,1
"1512",0,0,0,0,NA
"1513",0,0,0,0,NA
"1514",0,1,0,0,2
"1515",0,0,0,0,NA
"1516",0,0,0,0,NA
"1517",0,1,0,0,2
"1518",0,0,0,0,NA
"1519",0,0,0,0,NA
"1520",0,0,0,0,NA
"1521",0,1,1,0,3
"1522",0,0,0,0,NA
"1523",0,1,0,0,2
"1524",0,0,0,0,NA
"1525",0,1,0,0,2
"1526",0,0,0,0,NA
"1527",0,0,0,0,NA
"1528",0,0,0,0,NA
"1529",0,0,0,0,NA
"1530",0,1,0,0,2
"1531",0,0,0,0,NA
"1532",0,1,0,0,2
"1533",0,1,0,0,2
"1534",0,0,0,0,NA
"1535",0,0,0,0,NA
"1536",0,0,0,0,NA
"1537",0,0,1,0,3
"1538",0,0,1,0,3
"1539",0,0,0,0,NA
"1540",0,0,0,0,NA
"1541",0,0,0,0,NA
"1542",0,1,0,0,NA
"1543",0,0,0,0,NA
"1544",1,0,0,0,2
"1545",0,0,0,0,1
"1546",0,1,0,0,2
"1547",0,0,0,0,NA
"1548",1,1,0,0,1
"1549",0,0,0,0,NA
"1550",0,0,0,0,NA
"1551",0,1,1,0,2
"1552",0,1,0,0,2
"1553",0,0,0,0,NA
"1554",0,1,0,0,4
"1555",0,1,0,0,4
"1556",0,1,1,0,3
"1557",0,0,0,0,NA
"1558",1,1,0,0,1
"1559",0,0,0,0,NA
"1560",0,0,0,0,NA
"1561",1,1,0,0,1
"1562",1,0,0,0,1
"1563",1,0,0,0,1
"1564",0,0,0,0,NA
"1565",0,0,0,0,NA
"1566",0,0,0,0,NA
"1567",0,0,0,0,NA
"1568",0,0,0,0,NA
"1569",0,1,0,0,2
"1570",0,0,1,0,3
"1571",0,1,0,0,2
"1572",1,0,0,0,1
"1573",1,0,0,0,NA
"1574",0,0,0,0,NA
"1575",0,0,0,0,NA
"1576",0,0,0,0,NA
"1577",0,0,0,0,NA
"1578",1,1,0,0,1
"1579",0,0,0,0,NA
"1580",0,1,0,0,2
"1581",0,0,0,0,NA
"1582",0,1,0,0,2
"1583",0,0,0,0,NA
"1584",0,0,0,0,NA
"1585",0,0,0,0,NA
"1586",0,0,0,0,NA
"1587",0,0,0,0,NA
"1588",0,1,0,0,2
"1589",0,0,0,0,NA
"1590",0,0,0,0,NA
"1591",0,1,0,0,2
"1592",0,0,0,0,NA
"1593",0,1,0,0,2
"1594",0,0,0,0,NA
"1595",0,1,0,0,2
"1596",0,1,0,0,2
"1597",0,1,0,0,NA
"1598",0,1,0,0,2
"1599",0,1,0,0,2
"1600",0,0,0,0,NA
"1601",0,1,0,0,2
"1602",0,0,0,0,NA
"1603",0,1,0,0,2
"1604",0,0,0,0,NA
"1605",0,0,0,0,NA
"1606",1,0,0,0,1
"1607",0,1,0,0,2
"1608",0,1,0,0,2
"1609",0,1,0,0,1
"1610",0,0,0,0,NA
"1611",0,1,1,0,2
"1612",0,0,0,0,NA
"1613",0,0,0,1,1
"1614",0,0,1,0,3
"1615",0,0,0,0,NA
"1616",0,0,0,0,NA
"1617",0,0,0,0,NA
"1618",0,0,0,0,NA
"1619",0,0,0,0,NA
"1620",0,0,0,0,NA
"1621",1,0,0,0,1
"1622",0,0,0,0,NA
"1623",0,0,0,0,NA
"1624",0,0,0,0,NA
"1625",0,0,0,0,NA
"1626",0,0,0,0,NA
"1627",0,1,0,0,2
"1628",0,1,0,0,2
"1629",0,0,0,0,NA
"1630",0,0,0,0,NA
"1631",0,0,0,0,NA
"1632",0,0,0,0,NA
"1633",0,1,0,0,2
"1634",0,0,0,0,NA
"1635",0,0,0,0,NA
"1636",0,0,0,0,NA
"1637",0,0,0,0,NA
"1638",0,0,0,0,NA
"1639",0,0,0,0,NA
"1640",0,1,0,0,2
"1641",1,0,0,0,1
"1642",0,0,0,0,NA
"1643",0,0,0,0,NA
"1644",1,0,0,0,1
"1645",0,0,1,0,3
"1646",0,0,0,0,NA
"1647",0,1,0,0,2
"1648",0,0,0,0,NA
"1649",0,0,0,0,NA
"1650",0,0,0,0,NA
"1651",0,0,0,0,NA
"1652",0,0,0,0,NA
